[-0.9993249, 0.31152654, 0.25399536, -0.95, 0, 0.5, -0.9743589, 0.15384626, 0]
[-0.8628659, 0.33758187, 0.2886719, -0.9, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.8787558, 0.3383048, 0.28852183, -0.85, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.8918915, 0.32818422, 0.29059362, -0.8, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.8971452, 0.3097797, 0.29412425, -0.75, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.8920968, 0.28671184, 0.29777452, -0.7, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.8765912, 0.2619553, 0.2999104, -0.65, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.8514239, 0.2371925, 0.29869, -0.6, 0, 0.5, -0.8717948, 0.25641036, 0]
[-0.77506477, 0.26323384, 0.29986566, -0.54999995, 0, 0.5, -0.7692307, 0.25641036, 0]
[-0.7503735, 0.23845105, 0.29886764, -0.5, 0, 0.5, -0.7692307, 0.25641036, 0]
[-0.673513, 0.26451254, 0.2998124, -0.45, 0, 0.5, -0.6666666, 0.25641036, 0]
[-0.64929926, 0.23971096, 0.29903096, -0.39999998, 0, 0.5, -0.6666666, 0.25641036, 0]
[-0.61591375, 0.2153149, 0.29280594, -0.34999996, 0, 0.5, -0.6666666, 0.25641036, 0]
[-0.5482012, 0.24097216, 0.29918024, -0.3, 0, 0.5, -0.56410253, 0.25641036, 0]
[-0.51528996, 0.21656334, 0.29330796, -0.25, 0, 0.5, -0.56410253, 0.25641036, 0]
[-0.44707936, 0.2422348, 0.2993159, -0.19999999, 0, 0.5, -0.46153843, 0.25641036, 0]
[-0.41464028, 0.21781105, 0.29378676, -0.14999998, 0, 0.5, -0.46153843, 0.25641036, 0]
[-0.3459336, 0.24349873, 0.2994382, -0.099999964, 0, 0.5, -0.35897434, 0.25641036, 0]
[-0.3139651, 0.21905829, 0.2942431, -0.050000012, 0, 0.5, -0.35897434, 0.25641036, 0]
[-0.24476394, 0.24476404, 0.29954755, 0, 0, 0.5, -0.25641024, 0.25641036, 0]
[-0.21326467, 0.22030528, 0.2946776, 0.05000007, 0, 0.5, -0.25641024, 0.25641036, 0]
[-0.1435703, 0.24603072, 0.29964423, 0.100000024, 0, 0.5, -0.15384614, 0.25641036, 0]
[-0.11253934, 0.22155228, 0.29509094, 0.14999998, 0, 0.5, -0.15384614, 0.25641036, 0]
[-0.042352572, 0.24729864, 0.29972863, 0.20000005, 0, 0.5, -0.05128205, 0.25641036, 0]
[-0.011789139, 0.22279936, 0.2954837, 0.25, 0, 0.5, -0.05128205, 0.25641036, 0]
[0.058889378, 0.24856786, 0.299801, 0.30000007, 0, 0.5, 0.051282167, 0.25641036, 0]
[0.08898568, 0.2240468, 0.29585648, 0.35000002, 0, 0.5, 0.051282167, 0.25641036, 0]
[0.16015534, 0.24983841, 0.29986167, 0.39999998, 0, 0.5, 0.15384626, 0.25641036, 0]
[0.18978493, 0.2252946, 0.29620975, 0.45000005, 0, 0.5, 0.15384626, 0.25641036, 0]
[0.2614457, 0.25111, 0.2999109, 0.5, 0, 0.5, 0.25641036, 0.25641036, 0]
[0.2906085, 0.22654298, 0.29654413, 0.5500001, 0, 0.5, 0.25641036, 0.25641036, 0]
[0.36276042, 0.25238273, 0.29994908, 0.6, 0, 0.5, 0.35897446, 0.25641036, 0]
[0.39145607, 0.22779216, 0.29686016, 0.65, 0, 0.5, 0.35897446, 0.25641036, 0]
[0.46409968, 0.25365648, 0.29997644, 0.70000005, 0, 0.5, 0.46153855, 0.25641036, 0]
[0.54714334, 0.2798025, 0.2986054, 0.75, 0, 0.5, 0.56410265, 0.25641036, 0]
[0.6415337, 0.30474326, 0.29501233, 0.8000001, 0, 0.5, 0.66666675, 0.25641036, 0]
[0.747503, 0.32538784, 0.2911529, 0.85, 0, 0.5, 0.76923084, 0.25641036, 0]
[0.8628661, 0.33758187, 0.2886719, 0.9, 0, 0.5, 0.87179494, 0.25641036, 0]
[0.9993251, 0.3115265, 0.25399536, 0.95000005, 0, 0.5, 0.97435904, 0.15384626, 0]
